ENTITY;ACCOUNT;EXERCICE;SCENARIO;PERIOD;AMOUNT;USERUPD;DATEUPD;PROVENIENZA
MBWAY_LYO;6063;2025;2027BUD_V1;12;46027,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_NAN;615;2025;2027BUD_V1;12;25169,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_NAN;6063;2025;2027BUD_V1;12;41765,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_BOR;615;2025;2027BUD_V1;12;22023,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_BOR;6063;2025;2027BUD_V1;12;35372,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_PAR;615;2025;2027BUD_V1;12;50967,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_PAR;6063;2025;2027BUD_V1;12;50288,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_LIL;615;2025;2027BUD_V1;12;19296,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_LIL;6063;2025;2027BUD_V1;12;34662,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_TLS;615;2025;2027BUD_V1;12;18877,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_TLS;6063;2025;2027BUD_V1;12;32815,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_NAN;615;2025;2027BUD_V1;12;12585,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_NAN;6063;2025;2027BUD_V1;12;20598,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_REN;615;2025;2027BUD_V1;12;11074,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_REN;6063;2025;2027BUD_V1;12;16621,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_MTP;615;2025;2027BUD_V1;12;11074,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_MTP;6063;2025;2027BUD_V1;12;16621,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_LYO;615;2025;2027BUD_V1;12;18793,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_LYO;6063;2025;2027BUD_V1;12;25854,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_BOR;615;2025;2027BUD_V1;12;17618,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_BOR;6063;2025;2027BUD_V1;12;20172,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_PAR;615;2025;2027BUD_V1;12;20387,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_PAR;6063;2025;2027BUD_V1;12;19604,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_LYO;615;2025;2027BUD_V1;12;14095,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_LYO;6063;2025;2027BUD_V1;12;16621,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_PAR;615;2026;2027BUD_V1;12;53400,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_PAR;6063;2026;2027BUD_V1;12;56856,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_LYO;615;2026;2027BUD_V1;12;31996,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_LYO;6063;2026;2027BUD_V1;12;48224,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_NAN;615;2026;2027BUD_V1;12;26370,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_NAN;6063;2026;2027BUD_V1;12;43758,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_BOR;615;2026;2027BUD_V1;12;23074,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_BOR;6063;2026;2027BUD_V1;12;37061,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_PAR;615;2026;2027BUD_V1;12;53400,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_PAR;6063;2026;2027BUD_V1;12;52689,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_LIL;615;2026;2027BUD_V1;12;20217,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_LIL;6063;2026;2027BUD_V1;12;36316,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_TLS;615;2026;2027BUD_V1;12;19778,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_TLS;6063;2026;2027BUD_V1;12;34382,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_NAN;615;2026;2027BUD_V1;12;13185,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_NAN;6063;2026;2027BUD_V1;12;21582,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_REN;615;2026;2027BUD_V1;12;11603,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_REN;6063;2026;2027BUD_V1;12;17414,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_MTP;615;2026;2027BUD_V1;12;11603,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_MTP;6063;2026;2027BUD_V1;12;17414,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_LYO;615;2026;2027BUD_V1;12;19690,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_LYO;6063;2026;2027BUD_V1;12;27089,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_BOR;615;2026;2027BUD_V1;12;18459,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_BOR;6063;2026;2027BUD_V1;12;21135,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_PAR;615;2026;2027BUD_V1;12;21360,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_PAR;6063;2026;2027BUD_V1;12;20540,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_LYO;615;2026;2027BUD_V1;12;14767,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_LYO;6063;2026;2027BUD_V1;12;17414,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_PAR;616;2024;2027BUD_V1;12;35430,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_PAR;6231;2024;2027BUD_V1;12;56438,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_LYO;616;2024;2027BUD_V1;12;20776,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_LYO;6231;2024;2027BUD_V1;12;34532,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_NAN;616;2024;2027BUD_V1;12;16832,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_NAN;6231;2024;2027BUD_V1;12;26060,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_BOR;616;2024;2027BUD_V1;12;14969,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_BOR;6231;2024;2027BUD_V1;12;20597,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_PAR;616;2024;2027BUD_V1;12;32833,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_PAR;6231;2024;2027BUD_V1;12;50248,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_LIL;616;2024;2027BUD_V1;12;12852,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_LIL;6231;2024;2027BUD_V1;12;20843,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_TLS;616;2024;2027BUD_V1;12;11903,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_TLS;6231;2024;2027BUD_V1;12;18251,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_NAN;616;2024;2027BUD_V1;12;8302,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_NAN;6231;2024;2027BUD_V1;12;17983,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_REN;616;2024;2027BUD_V1;12;5895,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
GRP;TEC_PL;2027;2027BUD_V1;12;0,050000000;H.BOUZIDI;2026-08-20 15:03:31.455;INPUT_DEFORM
GRP;TEC_EBITDA;2027;2027BUD_V1;12;0,150000000;H.BOUZIDI;2026-08-20 15:03:31.459;INPUT_DEFORM
IPAC_REN;6231;2024;2027BUD_V1;12;12341,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_MTP;616;2024;2027BUD_V1;12;5895,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_MTP;6231;2024;2027BUD_V1;12;12543,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_LYO;616;2024;2027BUD_V1;12;11670,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_LYO;6231;2024;2027BUD_V1;12;30258,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_BOR;616;2024;2027BUD_V1;12;8536,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_BOR;6231;2024;2027BUD_V1;12;18155,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_PAR;616;2024;2027BUD_V1;12;12799,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_PAR;6231;2024;2027BUD_V1;12;24992,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_LYO;616;2024;2027BUD_V1;12;7502,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_LYO;6231;2024;2027BUD_V1;12;15578,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_PAR;616;2025;2027BUD_V1;12;37054,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_PAR;6231;2025;2027BUD_V1;12;62082,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_LYO;616;2025;2027BUD_V1;12;21728,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_LYO;6231;2025;2027BUD_V1;12;37985,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_NAN;616;2025;2027BUD_V1;12;17604,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_NAN;6231;2025;2027BUD_V1;12;28666,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_BOR;616;2025;2027BUD_V1;12;15655,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_BOR;6231;2025;2027BUD_V1;12;22657,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_PAR;616;2025;2027BUD_V1;12;34338,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_PAR;6231;2025;2027BUD_V1;12;55272,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_LIL;616;2025;2027BUD_V1;12;13441,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_LIL;6231;2025;2027BUD_V1;12;22927,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_TLS;616;2025;2027BUD_V1;12;12448,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_TLS;6231;2025;2027BUD_V1;12;20076,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_NAN;616;2025;2027BUD_V1;12;8682,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_NAN;6231;2025;2027BUD_V1;12;19782,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_REN;616;2025;2027BUD_V1;12;6165,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_REN;6231;2025;2027BUD_V1;12;13575,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_MTP;616;2025;2027BUD_V1;12;6165,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_MTP;6231;2025;2027BUD_V1;12;13798,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_LYO;616;2025;2027BUD_V1;12;12205,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_LYO;6231;2025;2027BUD_V1;12;33284,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_BOR;616;2025;2027BUD_V1;12;8928,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_PAR;7062;2024;2027BUD_V1;12;2197935,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_BOR;6231;2025;2027BUD_V1;12;19971,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_PAR;616;2025;2027BUD_V1;12;13386,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_LYO;7062;2024;2027BUD_V1;12;1748910,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_PAR;6231;2025;2027BUD_V1;12;27491,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_LYO;616;2025;2027BUD_V1;12;7846,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_NAN;7062;2024;2027BUD_V1;12;1510769,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_LYO;6231;2025;2027BUD_V1;12;17136,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_PAR;616;2026;2027BUD_V1;12;38822,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_BOR;7062;2024;2027BUD_V1;12;1240125,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_PAR;6231;2026;2027BUD_V1;12;68291,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_LYO;616;2026;2027BUD_V1;12;22765,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_PAR;7062;2024;2027BUD_V1;12;2038946,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_LYO;6231;2026;2027BUD_V1;12;41783,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_NAN;616;2026;2027BUD_V1;12;18444,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_LIL;7062;2024;2027BUD_V1;12;1227617,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_NAN;6231;2026;2027BUD_V1;12;31533,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_BOR;616;2026;2027BUD_V1;12;16402,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_TLS;7062;2024;2027BUD_V1;12;1140192,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_BOR;6231;2026;2027BUD_V1;12;24923,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_PAR;616;2026;2027BUD_V1;12;35977,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_NAN;7062;2024;2027BUD_V1;12;903346,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_PAR;6231;2026;2027BUD_V1;12;60800,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_LIL;616;2026;2027BUD_V1;12;14083,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_REN;7062;2024;2027BUD_V1;12;692462,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_LIL;6231;2026;2027BUD_V1;12;25220,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_TLS;616;2026;2027BUD_V1;12;13042,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_MTP;7062;2024;2027BUD_V1;12;692462,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_TLS;6231;2026;2027BUD_V1;12;22083,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_NAN;616;2026;2027BUD_V1;12;9096,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_LYO;7062;2024;2027BUD_V1;12;1392311,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_NAN;6231;2026;2027BUD_V1;12;21760,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_REN;616;2026;2027BUD_V1;12;6459,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_BOR;7062;2024;2027BUD_V1;12;998123,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_REN;6231;2026;2027BUD_V1;12;14933,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_MTP;616;2026;2027BUD_V1;12;6459,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_PAR;7062;2024;2027BUD_V1;12;962905,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_MTP;6231;2026;2027BUD_V1;12;15178,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_LYO;616;2026;2027BUD_V1;12;12788,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_LYO;7062;2024;2027BUD_V1;12;765352,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_LYO;6231;2026;2027BUD_V1;12;36612,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_BOR;616;2026;2027BUD_V1;12;9354,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_PAR;7062;2025;2027BUD_V1;12;2329811,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_BOR;6231;2026;2027BUD_V1;12;21968,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_PAR;616;2026;2027BUD_V1;12;14025,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_LYO;7062;2025;2027BUD_V1;12;1853844,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_PAR;6231;2026;2027BUD_V1;12;30240,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_LYO;616;2026;2027BUD_V1;12;8221,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_NAN;7062;2025;2027BUD_V1;12;1601415,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_LYO;6231;2026;2027BUD_V1;12;18850,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
GRP;6226;2024;2027BUD_V1;12;515487,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_BOR;7062;2025;2027BUD_V1;12;1314533,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_PAR;6411;2024;2027BUD_V1;12;552322,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
GRP;6226;2025;2027BUD_V1;12;539108,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_PAR;7062;2025;2027BUD_V1;12;2161283,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_LYO;6411;2024;2027BUD_V1;12;330938,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
GRP;6226;2026;2027BUD_V1;12;564841,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_LIL;7062;2025;2027BUD_V1;12;1301274,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_NAN;6411;2024;2027BUD_V1;12;272751,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
GRP;6236;2024;2027BUD_V1;12;499926,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_TLS;7062;2025;2027BUD_V1;12;1208604,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_BOR;6411;2024;2027BUD_V1;12;238657,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
GRP;6236;2025;2027BUD_V1;12;580167,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_NAN;7062;2025;2027BUD_V1;12;957547,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_PAR;6411;2024;2027BUD_V1;12;552322,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
GRP;6236;2026;2027BUD_V1;12;676344,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_REN;7062;2025;2027BUD_V1;12;734009,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_LIL;6411;2024;2027BUD_V1;12;209109,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_PAR;625;2024;2027BUD_V1;12;53145,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_MTP;7062;2025;2027BUD_V1;12;734009,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_TLS;6411;2024;2027BUD_V1;12;204564,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_LYO;625;2024;2027BUD_V1;12;31164,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_LYO;7062;2025;2027BUD_V1;12;1461529,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_NAN;6411;2024;2027BUD_V1;12;136376,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_NAN;625;2024;2027BUD_V1;12;25248,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_BOR;7062;2025;2027BUD_V1;12;1062157,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_REN;6411;2024;2027BUD_V1;12;120011,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_BOR;625;2024;2027BUD_V1;12;22453,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_PAR;7062;2025;2027BUD_V1;12;1020679,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_MTP;6411;2024;2027BUD_V1;12;120011,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_PAR;625;2024;2027BUD_V1;12;49250,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_LYO;7062;2025;2027BUD_V1;12;811274,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_LYO;6411;2024;2027BUD_V1;12;203654,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_LIL;625;2024;2027BUD_V1;12;19278,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_PAR;7062;2026;2027BUD_V1;12;2469600,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_BOR;6411;2024;2027BUD_V1;12;190926,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_TLS;625;2024;2027BUD_V1;12;17854,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_LYO;7062;2026;2027BUD_V1;12;1965075,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_PAR;6411;2024;2027BUD_V1;12;220929,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_NAN;625;2024;2027BUD_V1;12;12452,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_NAN;7062;2026;2027BUD_V1;12;1697500,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_LYO;6411;2024;2027BUD_V1;12;152741,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_REN;625;2024;2027BUD_V1;12;8842,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_BOR;7062;2026;2027BUD_V1;12;1393405,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_PAR;6411;2025;2027BUD_V1;12;577630,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_MTP;625;2024;2027BUD_V1;12;8842,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_PAR;7062;2026;2027BUD_V1;12;2290960,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_LYO;6411;2025;2027BUD_V1;12;346103,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_LYO;625;2024;2027BUD_V1;12;17506,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_LIL;7062;2026;2027BUD_V1;12;1379350,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_NAN;6411;2025;2027BUD_V1;12;285249,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_BOR;625;2024;2027BUD_V1;12;12805,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_TLS;7062;2026;2027BUD_V1;12;1281120,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_BOR;6411;2025;2027BUD_V1;12;249593,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_PAR;625;2024;2027BUD_V1;12;19199,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_NAN;7062;2026;2027BUD_V1;12;1015000,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_PAR;6411;2025;2027BUD_V1;12;577630,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_LYO;625;2024;2027BUD_V1;12;11254,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
