ENTITY;PROGRAMME;ANNEE;MODALITE;EXERCICE;SCENARIO;PERIODE;LEADS;CAND;ADMIS;NOUVEAUX;REINSCRITS;EFFECTIF;EFFECTIF_INF;CLASSES;REVENU_ETU;FRAIS_INSC;LEADS_ORG;LEADS_PAY;DEPENSE_ACQ;DEPENSE_MARQUE
IPAC_MTP;BAC_CCE;B1;ALT;2026;2027BUD_V1;12;680;136;95;40;0;40;0;2;6650;90;258;422;15178;23514
IPAC_MTP;BAC_CCE;B2;ALT;2026;2027BUD_V1;12;0;0;0;0;39;39;40;2;6650;90;0;0;0;0
IPAC_MTP;BAC_CCE;B3;ALT;2026;2027BUD_V1;12;0;0;0;0;38;38;39;2;6650;90;0;0;0;0
PIGIER_LYO;BTS_GES;BTS1;ALT;2026;2027BUD_V1;12;785;157;110;46;0;46;0;2;6300;90;369;416;18306;33630
PIGIER_LYO;BTS_GES;BTS2;ALT;2026;2027BUD_V1;12;0;0;0;0;45;45;46;2;6300;90;0;0;0;0
PIGIER_LYO;BAC_RH;B1;ALT;2026;2027BUD_V1;12;785;157;110;46;0;46;0;2;7350;90;369;416;18306;33631
PIGIER_LYO;BAC_RH;B3;ALT;2026;2027BUD_V1;12;0;0;0;0;45;45;46;2;7350;90;0;0;0;0
PIGIER_BOR;BTS_GES;BTS1;ALT;2026;2027BUD_V1;12;615;123;86;36;0;36;0;2;5820;90;326;289;10984;29712
PIGIER_BOR;BTS_GES;BTS2;ALT;2026;2027BUD_V1;12;0;0;0;0;35;35;36;2;5820;90;0;0;0;0
PIGIER_BOR;BAC_RH;B1;ALT;2026;2027BUD_V1;12;615;123;86;36;0;36;0;2;6790;90;326;289;10984;29711
PIGIER_BOR;BAC_RH;B3;ALT;2026;2027BUD_V1;12;0;0;0;0;35;35;36;2;6790;90;0;0;0;0
TUNON_PAR;BAC_TOU;B1;ALT;2026;2027BUD_V1;12;800;160;112;47;0;47;0;2;7840;90;240;560;30240;21873
TUNON_PAR;BAC_TOU;B2;ALT;2026;2027BUD_V1;12;0;0;0;0;46;46;47;2;7840;90;0;0;0;0
TUNON_PAR;BAC_TOU;B3;ALT;2026;2027BUD_V1;12;0;0;0;0;45;45;46;2;7840;90;0;0;0;0
TUNON_LYO;BAC_TOU;B1;ALT;2026;2027BUD_V1;12;680;136;95;40;0;40;0;2;7350;90;252;428;18850;22967
TUNON_LYO;BAC_TOU;B2;ALT;2026;2027BUD_V1;12;0;0;0;0;39;39;40;2;7350;90;0;0;0;0
TUNON_LYO;BAC_TOU;B3;ALT;2026;2027BUD_V1;12;0;0;0;0;38;38;39;2;7350;90;0;0;0;0
MBWAY_PAR;BAC_MGT;B1;INIT;2025;2027BUD_V1;12;609;171;123;74;0;74;0;3;8400;90;217;396;20296;17007
MBWAY_PAR;BAC_MGT;B2;ALT;2025;2027BUD_V1;12;0;0;0;0;72;72;74;3;7840;90;0;0;0;0
MBWAY_PAR;BAC_MGT;B3;ALT;2025;2027BUD_V1;12;0;0;0;0;70;70;72;3;7840;90;0;0;0;0
MBWAY_PAR;MAS_MGT;M1;ALT;2025;2027BUD_V1;12;1255;251;175;74;0;74;0;3;8400;90;448;814;41786;35013
MBWAY_PAR;MAS_MGT;M2;ALT;2025;2027BUD_V1;12;0;0;0;0;72;72;74;3;8400;90;0;0;0;0
MBWAY_LYO;BAC_MGT;B1;INIT;2025;2027BUD_V1;12;515;144;104;62;0;62;0;3;7875;90;220;297;12449;17411
MBWAY_LYO;BAC_MGT;B2;ALT;2025;2027BUD_V1;12;0;0;0;0;60;60;62;2;7350;90;0;0;0;0
MBWAY_LYO;BAC_MGT;B3;ALT;2025;2027BUD_V1;12;0;0;0;0;59;59;60;2;7350;90;0;0;0;0
MBWAY_LYO;MAS_MGT;M1;ALT;2025;2027BUD_V1;12;1057;211;148;62;0;62;0;3;7875;90;450;608;25536;35714
MBWAY_LYO;MAS_MGT;M2;ALT;2025;2027BUD_V1;12;0;0;0;0;61;61;62;3;7875;90;0;0;0;0
MBWAY_NAN;BAC_MGT;B1;INIT;2025;2027BUD_V1;12;468;131;94;57;0;57;0;2;7500;90;222;245;9379;17832
MBWAY_NAN;BAC_MGT;B2;ALT;2025;2027BUD_V1;12;0;0;0;0;55;55;57;2;7000;90;0;0;0;0
MBWAY_NAN;BAC_MGT;B3;ALT;2025;2027BUD_V1;12;0;0;0;0;54;54;55;2;7000;90;0;0;0;0
MBWAY_NAN;MAS_MGT;M1;ALT;2025;2027BUD_V1;12;962;192;135;57;0;57;0;3;7500;90;458;504;19287;36670
MBWAY_NAN;MAS_MGT;M2;ALT;2025;2027BUD_V1;12;0;0;0;0;56;56;57;3;7500;90;0;0;0;0
MBWAY_BOR;BAC_MGT;B1;INIT;2025;2027BUD_V1;12;397;111;80;48;0;48;0;2;7275;90;193;204;7417;15467
MBWAY_BOR;BAC_MGT;B2;ALT;2025;2027BUD_V1;12;0;0;0;0;46;46;48;2;6790;90;0;0;0;0
MBWAY_BOR;BAC_MGT;B3;ALT;2025;2027BUD_V1;12;0;0;0;0;45;45;46;2;6790;90;0;0;0;0
MBWAY_BOR;MAS_MGT;M1;ALT;2025;2027BUD_V1;12;816;163;114;48;0;48;0;2;7275;90;396;419;15240;31779
MBWAY_BOR;MAS_MGT;M2;ALT;2025;2027BUD_V1;12;0;0;0;0;47;47;48;2;7275;90;0;0;0;0
ISCOM_PAR;BAC_COM;B1;INIT;2025;2027BUD_V1;12;562;158;113;68;0;68;0;3;8400;90;220;354;18140;18785
ISCOM_PAR;BAC_COM;B2;ALT;2025;2027BUD_V1;12;0;0;0;0;66;66;68;3;7840;90;0;0;0;0
ISCOM_PAR;BAC_COM;B3;ALT;2025;2027BUD_V1;12;0;0;0;0;65;65;66;3;7840;90;0;0;0;0
ISCOM_PAR;MAS_COM;M1;ALT;2025;2027BUD_V1;12;1151;230;161;68;0;68;0;3;8400;90;450;726;37132;38451
ISCOM_PAR;MAS_COM;M2;ALT;2025;2027BUD_V1;12;0;0;0;0;67;67;68;3;8400;90;0;0;0;0
ISCOM_LIL;BAC_COM;B1;INIT;2025;2027BUD_V1;12;388;108;78;47;0;47;0;2;7350;90;199;196;7473;17199
ISCOM_LIL;BAC_COM;B2;ALT;2025;2027BUD_V1;12;0;0;0;0;45;45;47;2;6860;90;0;0;0;0
ISCOM_LIL;BAC_COM;B3;ALT;2025;2027BUD_V1;12;0;0;0;0;44;44;45;2;6860;90;0;0;0;0
ISCOM_LIL;MAS_COM;M1;ALT;2025;2027BUD_V1;12;802;160;112;47;0;47;0;2;7350;90;413;404;15454;35569
ISCOM_LIL;MAS_COM;M2;ALT;2025;2027BUD_V1;12;0;0;0;0;46;46;47;2;7350;90;0;0;0;0
ISCOM_TLS;BAC_COM;B1;INIT;2025;2027BUD_V1;12;364;102;74;44;0;44;0;2;7200;90;191;180;6534;16504
ISCOM_TLS;BAC_COM;B2;ALT;2025;2027BUD_V1;12;0;0;0;0;43;43;44;2;6720;90;0;0;0;0
ISCOM_TLS;BAC_COM;B3;ALT;2025;2027BUD_V1;12;0;0;0;0;42;42;43;2;6720;90;0;0;0;0
ISCOM_TLS;MAS_COM;M1;ALT;2025;2027BUD_V1;12;755;151;106;44;0;44;0;2;7200;90;396;373;13542;34206
ISCOM_TLS;MAS_COM;M2;ALT;2025;2027BUD_V1;12;0;0;0;0;43;43;44;2;7200;90;0;0;0;0
IPAC_NAN;BAC_CCE;B1;ALT;2025;2027BUD_V1;12;802;160;112;47;0;47;0;2;7000;90;281;516;19782;21082
IPAC_NAN;BAC_CCE;B2;ALT;2025;2027BUD_V1;12;0;0;0;0;45;45;47;2;7000;90;0;0;0;0
IPAC_NAN;BAC_CCE;B3;ALT;2025;2027BUD_V1;12;0;0;0;0;44;44;45;2;7000;90;0;0;0;0
IPAC_REN;BAC_CCE;B1;ALT;2025;2027BUD_V1;12;642;128;90;38;0;38;0;2;6650;90;243;392;13575;18403
IPAC_REN;BAC_CCE;B2;ALT;2025;2027BUD_V1;12;0;0;0;0;37;37;38;2;6650;90;0;0;0;0
IPAC_REN;BAC_CCE;B3;ALT;2025;2027BUD_V1;12;0;0;0;0;36;36;37;2;6650;90;0;0;0;0
IPAC_MTP;BAC_CCE;B1;ALT;2025;2027BUD_V1;12;642;128;90;38;0;38;0;2;6650;90;237;399;13798;17870
IPAC_MTP;BAC_CCE;B2;ALT;2025;2027BUD_V1;12;0;0;0;0;37;37;38;2;6650;90;0;0;0;0
IPAC_MTP;BAC_CCE;B3;ALT;2025;2027BUD_V1;12;0;0;0;0;36;36;37;2;6650;90;0;0;0;0
PIGIER_LYO;BTS_GES;BTS1;ALT;2025;2027BUD_V1;12;741;148;104;43;0;43;0;2;6300;90;355;399;16642;29976
PIGIER_LYO;BTS_GES;BTS2;ALT;2025;2027BUD_V1;12;0;0;0;0;42;42;43;2;6300;90;0;0;0;0
PIGIER_LYO;BAC_RH;B1;ALT;2025;2027BUD_V1;12;741;148;104;43;0;43;0;2;7350;90;355;399;16642;29977
PIGIER_LYO;BAC_RH;B3;ALT;2025;2027BUD_V1;12;0;0;0;0;42;42;43;2;7350;90;0;0;0;0
PIGIER_BOR;BTS_GES;BTS1;ALT;2025;2027BUD_V1;12;580;116;81;34;0;34;0;2;5820;90;314;276;9986;26636
PIGIER_BOR;BTS_GES;BTS2;ALT;2025;2027BUD_V1;12;0;0;0;0;33;33;34;2;5820;90;0;0;0;0
PIGIER_BOR;BAC_RH;B1;ALT;2025;2027BUD_V1;12;580;116;81;34;0;34;0;2;6790;90;313;276;9985;26637
PIGIER_BOR;BAC_RH;B3;ALT;2025;2027BUD_V1;12;0;0;0;0;33;33;34;2;6790;90;0;0;0;0
TUNON_PAR;BAC_TOU;B1;ALT;2025;2027BUD_V1;12;755;151;106;44;0;44;0;2;7840;90;235;538;27491;20429
TUNON_PAR;BAC_TOU;B2;ALT;2025;2027BUD_V1;12;0;0;0;0;43;43;44;2;7840;90;0;0;0;0
TUNON_PAR;BAC_TOU;B3;ALT;2025;2027BUD_V1;12;0;0;0;0;42;42;43;2;7840;90;0;0;0;0
TUNON_LYO;BAC_TOU;B1;ALT;2025;2027BUD_V1;12;642;128;90;38;0;38;0;2;7350;90;247;410;17136;21550
TUNON_LYO;BAC_TOU;B2;ALT;2025;2027BUD_V1;12;0;0;0;0;37;37;38;2;7350;90;0;0;0;0
TUNON_LYO;BAC_TOU;B3;ALT;2025;2027BUD_V1;12;0;0;0;0;36;36;37;2;7350;90;0;0;0;0
MBWAY_PAR;BAC_MGT;B1;INIT;2024;2027BUD_V1;12;575;161;116;69;0;69;0;3;8400;90;203;379;18451;13653
MBWAY_PAR;BAC_MGT;B2;ALT;2024;2027BUD_V1;12;0;0;0;0;68;68;69;3;7840;90;0;0;0;0
MBWAY_PAR;BAC_MGT;B3;ALT;2024;2027BUD_V1;12;0;0;0;0;66;66;68;3;7840;90;0;0;0;0
MBWAY_PAR;MAS_MGT;M1;ALT;2024;2027BUD_V1;12;1184;237;166;69;0;69;0;3;8400;90;418;779;37987;28108
MBWAY_PAR;MAS_MGT;M2;ALT;2024;2027BUD_V1;12;0;0;0;0;68;68;69;3;8400;90;0;0;0;0
MBWAY_LYO;BAC_MGT;B1;INIT;2024;2027BUD_V1;12;486;136;98;59;0;59;0;3;7875;90;205;283;11317;14174
MBWAY_LYO;BAC_MGT;B2;ALT;2024;2027BUD_V1;12;0;0;0;0;57;57;59;2;7350;90;0;0;0;0
MBWAY_LYO;BAC_MGT;B3;ALT;2024;2027BUD_V1;12;0;0;0;0;56;56;57;2;7350;90;0;0;0;0
MBWAY_LYO;MAS_MGT;M1;ALT;2024;2027BUD_V1;12;997;199;140;59;0;59;0;3;7875;90;421;580;23215;29076
MBWAY_LYO;MAS_MGT;M2;ALT;2024;2027BUD_V1;12;0;0;0;0;58;58;59;3;7875;90;0;0;0;0
MBWAY_NAN;BAC_MGT;B1;INIT;2024;2027BUD_V1;12;441;124;89;53;0;53;0;2;7500;90;208;233;8526;14648
MBWAY_NAN;BAC_MGT;B2;ALT;2024;2027BUD_V1;12;0;0;0;0;52;52;53;2;7000;90;0;0;0;0
MBWAY_NAN;BAC_MGT;B3;ALT;2024;2027BUD_V1;12;0;0;0;0;51;51;52;2;7000;90;0;0;0;0
MBWAY_NAN;MAS_MGT;M1;ALT;2024;2027BUD_V1;12;908;182;127;53;0;53;0;3;7500;90;428;480;17534;30123
MBWAY_NAN;MAS_MGT;M2;ALT;2024;2027BUD_V1;12;0;0;0;0;53;53;53;3;7500;90;0;0;0;0
MBWAY_BOR;BAC_MGT;B1;INIT;2024;2027BUD_V1;12;375;105;76;45;0;45;0;2;7275;90;180;194;6743;12727
MBWAY_BOR;BAC_MGT;B2;ALT;2024;2027BUD_V1;12;0;0;0;0;44;44;45;2;6790;90;0;0;0;0
MBWAY_BOR;BAC_MGT;B3;ALT;2024;2027BUD_V1;12;0;0;0;0;43;43;44;2;6790;90;0;0;0;0
MBWAY_BOR;MAS_MGT;M1;ALT;2024;2027BUD_V1;12;770;154;108;45;0;45;0;2;7275;90;370;398;13854;26150
MBWAY_BOR;MAS_MGT;M2;ALT;2024;2027BUD_V1;12;0;0;0;0;44;44;45;2;7275;90;0;0;0;0
ISCOM_PAR;BAC_COM;B1;INIT;2024;2027BUD_V1;12;530;149;107;64;0;64;0;3;8400;90;213;340;16491;17097
ISCOM_PAR;BAC_COM;B2;ALT;2024;2027BUD_V1;12;0;0;0;0;62;62;64;3;7840;90;0;0;0;0
ISCOM_PAR;BAC_COM;B3;ALT;2024;2027BUD_V1;12;0;0;0;0;61;61;62;3;7840;90;0;0;0;0
ISCOM_PAR;MAS_COM;M1;ALT;2024;2027BUD_V1;12;1086;217;152;64;0;64;0;3;8400;90;437;695;33757;34997
ISCOM_PAR;MAS_COM;M2;ALT;2024;2027BUD_V1;12;0;0;0;0;63;63;64;3;8400;90;0;0;0;0
ISCOM_LIL;BAC_COM;B1;INIT;2024;2027BUD_V1;12;366;102;74;44;0;44;0;2;7350;90;194;186;6793;15806
ISCOM_LIL;BAC_COM;B2;ALT;2024;2027BUD_V1;12;0;0;0;0;43;43;44;2;6860;90;0;0;0;0
ISCOM_LIL;BAC_COM;B3;ALT;2024;2027BUD_V1;12;0;0;0;0;42;42;43;2;6860;90;0;0;0;0
ISCOM_LIL;MAS_COM;M1;ALT;2024;2027BUD_V1;12;756;151;106;44;0;44;0;2;7350;90;400;385;14050;32689
ISCOM_LIL;MAS_COM;M2;ALT;2024;2027BUD_V1;12;0;0;0;0;44;44;44;2;7350;90;0;0;0;0
ISCOM_TLS;BAC_COM;B1;INIT;2024;2027BUD_V1;12;344;96;69;42;0;42;0;2;7200;90;186;171;5940;15179
ISCOM_TLS;BAC_COM;B2;ALT;2024;2027BUD_V1;12;0;0;0;0;41;41;42;2;6720;90;0;0;0;0
ISCOM_TLS;BAC_COM;B3;ALT;2024;2027BUD_V1;12;0;0;0;0;40;40;41;2;6720;90;0;0;0;0
ISCOM_TLS;MAS_COM;M1;ALT;2024;2027BUD_V1;12;712;142;100;42;0;42;0;2;7200;90;384;355;12311;31458
ISCOM_TLS;MAS_COM;M2;ALT;2024;2027BUD_V1;12;0;0;0;0;41;41;42;2;7200;90;0;0;0;0
IPAC_NAN;BAC_CCE;B1;ALT;2024;2027BUD_V1;12;756;151;106;44;0;44;0;2;7000;90;258;489;17983;15937
IPAC_NAN;BAC_CCE;B2;ALT;2024;2027BUD_V1;12;0;0;0;0;43;43;44;2;7000;90;0;0;0;0
IPAC_NAN;BAC_CCE;B3;ALT;2024;2027BUD_V1;12;0;0;0;0;42;42;43;2;7000;90;0;0;0;0
IPAC_REN;BAC_CCE;B1;ALT;2024;2027BUD_V1;12;605;121;85;36;0;36;0;2;6650;90;223;371;12341;14022
IPAC_REN;BAC_CCE;B2;ALT;2024;2027BUD_V1;12;0;0;0;0;35;35;36;2;6650;90;0;0;0;0
IPAC_REN;BAC_CCE;B3;ALT;2024;2027BUD_V1;12;0;0;0;0;34;34;35;2;6650;90;0;0;0;0
IPAC_MTP;BAC_CCE;B1;ALT;2024;2027BUD_V1;12;605;121;85;36;0;36;0;2;6650;90;217;377;12543;13581
IPAC_MTP;BAC_CCE;B2;ALT;2024;2027BUD_V1;12;0;0;0;0;35;35;36;2;6650;90;0;0;0;0
IPAC_MTP;BAC_CCE;B3;ALT;2024;2027BUD_V1;12;0;0;0;0;34;34;35;2;6650;90;0;0;0;0
PIGIER_LYO;BTS_GES;BTS1;ALT;2024;2027BUD_V1;12;699;140;98;41;0;41;0;2;6300;90;341;382;15129;26720
PIGIER_LYO;BTS_GES;BTS2;ALT;2024;2027BUD_V1;12;0;0;0;0;40;40;41;2;6300;90;0;0;0;0
PIGIER_LYO;BAC_RH;B1;ALT;2024;2027BUD_V1;12;699;140;98;41;0;41;0;2;7350;90;341;383;15129;26719
PIGIER_LYO;BAC_RH;B3;ALT;2024;2027BUD_V1;12;0;0;0;0;40;40;41;2;7350;90;0;0;0;0
PIGIER_BOR;BTS_GES;BTS1;ALT;2024;2027BUD_V1;12;547;109;77;32;0;32;0;2;5820;90;302;264;9078;23880
PIGIER_BOR;BTS_GES;BTS2;ALT;2024;2027BUD_V1;12;0;0;0;0;31;31;32;2;5820;90;0;0;0;0
PIGIER_BOR;BAC_RH;B1;ALT;2024;2027BUD_V1;12;547;109;77;32;0;32;0;2;6790;90;301;264;9077;23880
PIGIER_BOR;BAC_RH;B3;ALT;2024;2027BUD_V1;12;0;0;0;0;31;31;32;2;6790;90;0;0;0;0
TUNON_PAR;BAC_TOU;B1;ALT;2024;2027BUD_V1;12;712;142;100;42;0;42;0;2;7840;90;231;517;24992;19081
TUNON_PAR;BAC_TOU;B2;ALT;2024;2027BUD_V1;12;0;0;0;0;41;41;42;2;7840;90;0;0;0;0
TUNON_PAR;BAC_TOU;B3;ALT;2024;2027BUD_V1;12;0;0;0;0;40;40;41;2;7840;90;0;0;0;0
TUNON_LYO;BAC_TOU;B1;ALT;2024;2027BUD_V1;12;605;121;85;36;0;36;0;2;7350;90;242;392;15578;20221
TUNON_LYO;BAC_TOU;B2;ALT;2024;2027BUD_V1;12;0;0;0;0;35;35;36;2;7350;90;0;0;0;0
TUNON_LYO;BAC_TOU;B3;ALT;2024;2027BUD_V1;12;0;0;0;0;34;34;35;2;7350;90;0;0;0;0
