ENTITY;ACCOUNT;EXERCICE;SCENARIO;PERIOD;AMOUNT
MBWAY_BOR;708;2024;2027BUD_V1;12;8170.00
ISCOM_PAR;708;2024;2027BUD_V1;12;11534.00
ISCOM_LIL;708;2024;2027BUD_V1;12;8010.00
ISCOM_TLS;708;2024;2027BUD_V1;12;7529.00
IPAC_NAN;708;2024;2027BUD_V1;12;4005.00
IPAC_REN;708;2024;2027BUD_V1;12;3204.00
IPAC_MTP;708;2024;2027BUD_V1;12;3204.00
PIGIER_LYO;708;2024;2027BUD_V1;12;7369.00
PIGIER_BOR;708;2024;2027BUD_V1;12;5767.00
TUNON_PAR;708;2024;2027BUD_V1;12;3765.00
TUNON_LYO;708;2024;2027BUD_V1;12;3204.00
MBWAY_PAR;708;2025;2027BUD_V1;12;13245.00
MBWAY_LYO;708;2025;2027BUD_V1;12;11208.00
MBWAY_NAN;708;2025;2027BUD_V1;12;10189.00
MBWAY_BOR;708;2025;2027BUD_V1;12;8660.00
ISCOM_PAR;708;2025;2027BUD_V1;12;12226.00
ISCOM_LIL;708;2025;2027BUD_V1;12;8491.00
ISCOM_TLS;708;2025;2027BUD_V1;12;7981.00
IPAC_NAN;708;2025;2027BUD_V1;12;4245.00
IPAC_REN;708;2025;2027BUD_V1;12;3396.00
IPAC_MTP;708;2025;2027BUD_V1;12;3396.00
PIGIER_LYO;708;2025;2027BUD_V1;12;7811.00
PIGIER_BOR;708;2025;2027BUD_V1;12;6113.00
TUNON_PAR;708;2025;2027BUD_V1;12;3991.00
TUNON_LYO;708;2025;2027BUD_V1;12;3396.00
MBWAY_PAR;708;2026;2027BUD_V1;12;14040.00
MBWAY_LYO;708;2026;2027BUD_V1;12;11880.00
MBWAY_NAN;708;2026;2027BUD_V1;12;10800.00
MBWAY_BOR;708;2026;2027BUD_V1;12;9180.00
ISCOM_PAR;708;2026;2027BUD_V1;12;12960.00
ISCOM_LIL;708;2026;2027BUD_V1;12;9000.00
ISCOM_TLS;708;2026;2027BUD_V1;12;8460.00
IPAC_NAN;708;2026;2027BUD_V1;12;4500.00
IPAC_REN;708;2026;2027BUD_V1;12;3600.00
IPAC_MTP;708;2026;2027BUD_V1;12;3600.00
PIGIER_LYO;708;2026;2027BUD_V1;12;8280.00
PIGIER_BOR;708;2026;2027BUD_V1;12;6480.00
TUNON_PAR;708;2026;2027BUD_V1;12;4230.00
TUNON_LYO;708;2026;2027BUD_V1;12;3600.00
MBWAY_PAR;621;2024;2027BUD_V1;12;165271.00
MBWAY_LYO;621;2024;2027BUD_V1;12;143235.00
MBWAY_NAN;621;2024;2027BUD_V1;12;132216.00
MBWAY_BOR;621;2024;2027BUD_V1;12;110180.00
ISCOM_PAR;621;2024;2027BUD_V1;12;165271.00
ISCOM_LIL;621;2024;2027BUD_V1;12;110180.00
ISCOM_TLS;621;2024;2027BUD_V1;12;110180.00
IPAC_NAN;621;2024;2027BUD_V1;12;66108.00
IPAC_REN;621;2024;2027BUD_V1;12;66108.00
IPAC_MTP;621;2024;2027BUD_V1;12;66108.00
PIGIER_LYO;621;2024;2027BUD_V1;12;88144.00
PIGIER_BOR;621;2024;2027BUD_V1;12;88144.00
TUNON_PAR;621;2024;2027BUD_V1;12;66108.00
TUNON_LYO;621;2024;2027BUD_V1;12;66108.00
MBWAY_PAR;621;2025;2027BUD_V1;12;172844.00
MBWAY_LYO;621;2025;2027BUD_V1;12;149798.00
MBWAY_NAN;621;2025;2027BUD_V1;12;138275.00
MBWAY_BOR;621;2025;2027BUD_V1;12;115229.00
ISCOM_PAR;621;2025;2027BUD_V1;12;172844.00
ISCOM_LIL;621;2025;2027BUD_V1;12;115229.00
ISCOM_TLS;621;2025;2027BUD_V1;12;115229.00
IPAC_NAN;621;2025;2027BUD_V1;12;69137.00
IPAC_REN;621;2025;2027BUD_V1;12;69137.00
IPAC_MTP;621;2025;2027BUD_V1;12;69137.00
PIGIER_LYO;621;2025;2027BUD_V1;12;92183.00
PIGIER_BOR;621;2025;2027BUD_V1;12;92183.00
TUNON_PAR;621;2025;2027BUD_V1;12;69137.00
TUNON_LYO;621;2025;2027BUD_V1;12;69137.00
MBWAY_PAR;621;2026;2027BUD_V1;12;181094.00
MBWAY_LYO;621;2026;2027BUD_V1;12;156948.00
MBWAY_NAN;621;2026;2027BUD_V1;12;144875.00
MBWAY_BOR;621;2026;2027BUD_V1;12;120729.00
ISCOM_PAR;621;2026;2027BUD_V1;12;181094.00
ISCOM_LIL;621;2026;2027BUD_V1;12;120729.00
ISCOM_TLS;621;2026;2027BUD_V1;12;120729.00
IPAC_NAN;621;2026;2027BUD_V1;12;72438.00
IPAC_REN;621;2026;2027BUD_V1;12;72438.00
IPAC_MTP;621;2026;2027BUD_V1;12;72438.00
PIGIER_LYO;621;2026;2027BUD_V1;12;96583.00
PIGIER_BOR;621;2026;2027BUD_V1;12;96583.00
TUNON_PAR;621;2026;2027BUD_V1;12;72438.00
TUNON_LYO;621;2026;2027BUD_V1;12;72438.00
MBWAY_PAR;604;2024;2027BUD_V1;12;77832.00
MBWAY_LYO;604;2024;2027BUD_V1;12;66015.00
MBWAY_NAN;604;2024;2027BUD_V1;12;59902.00
MBWAY_BOR;604;2024;2027BUD_V1;12;50734.00
ISCOM_PAR;604;2024;2027BUD_V1;12;72127.00
ISCOM_LIL;604;2024;2027BUD_V1;12;49715.00
ISCOM_TLS;604;2024;2027BUD_V1;12;47066.00
IPAC_NAN;604;2024;2027BUD_V1;12;29544.00
IPAC_REN;604;2024;2027BUD_V1;12;23839.00
IPAC_MTP;604;2024;2027BUD_V1;12;23839.00
PIGIER_LYO;604;2024;2027BUD_V1;12;37082.00
PIGIER_BOR;604;2024;2027BUD_V1;12;28932.00
TUNON_PAR;604;2024;2027BUD_V1;12;28117.00
TUNON_LYO;604;2024;2027BUD_V1;12;23839.00
MBWAY_PAR;604;2025;2027BUD_V1;12;81399.00
MBWAY_LYO;604;2025;2027BUD_V1;12;69040.00
MBWAY_NAN;604;2025;2027BUD_V1;12;62647.00
MBWAY_BOR;604;2025;2027BUD_V1;12;53058.00
ISCOM_PAR;604;2025;2027BUD_V1;12;75432.00
ISCOM_LIL;604;2025;2027BUD_V1;12;51993.00
ISCOM_TLS;604;2025;2027BUD_V1;12;49223.00
IPAC_NAN;604;2025;2027BUD_V1;12;30897.00
IPAC_REN;604;2025;2027BUD_V1;12;24931.00
IPAC_MTP;604;2025;2027BUD_V1;12;24931.00
PIGIER_LYO;604;2025;2027BUD_V1;12;38782.00
PIGIER_BOR;604;2025;2027BUD_V1;12;30258.00
TUNON_PAR;604;2025;2027BUD_V1;12;29406.00
TUNON_LYO;604;2025;2027BUD_V1;12;24931.00
MBWAY_PAR;604;2026;2027BUD_V1;12;85284.00
MBWAY_LYO;604;2026;2027BUD_V1;12;72335.00
MBWAY_NAN;604;2026;2027BUD_V1;12;65638.00
MBWAY_BOR;604;2026;2027BUD_V1;12;55591.00
ISCOM_PAR;604;2026;2027BUD_V1;12;79033.00
ISCOM_LIL;604;2026;2027BUD_V1;12;54475.00
ISCOM_TLS;604;2026;2027BUD_V1;12;51572.00
IPAC_NAN;604;2026;2027BUD_V1;12;32372.00
IPAC_REN;604;2026;2027BUD_V1;12;26121.00
IPAC_MTP;604;2026;2027BUD_V1;12;26121.00
PIGIER_LYO;604;2026;2027BUD_V1;12;40633.00
PIGIER_BOR;604;2026;2027BUD_V1;12;31703.00
TUNON_PAR;604;2026;2027BUD_V1;12;30809.00
TUNON_LYO;604;2026;2027BUD_V1;12;26121.00
MBWAY_PAR;6063;2024;2027BUD_V1;12;51888.00
MBWAY_LYO;6063;2024;2027BUD_V1;12;44010.00
MBWAY_NAN;6063;2024;2027BUD_V1;12;39935.00
MBWAY_BOR;6063;2024;2027BUD_V1;12;33822.00
ISCOM_PAR;6063;2024;2027BUD_V1;12;48085.00
ISCOM_LIL;6063;2024;2027BUD_V1;12;33143.00
ISCOM_TLS;6063;2024;2027BUD_V1;12;31377.00
IPAC_NAN;6063;2024;2027BUD_V1;12;19696.00
IPAC_REN;6063;2024;2027BUD_V1;12;15892.00
IPAC_MTP;6063;2024;2027BUD_V1;12;15892.00
PIGIER_LYO;6063;2024;2027BUD_V1;12;24722.00
PIGIER_BOR;6063;2024;2027BUD_V1;12;19288.00
TUNON_PAR;6063;2024;2027BUD_V1;12;18745.00
TUNON_LYO;6063;2024;2027BUD_V1;12;15892.00
MBWAY_PAR;6063;2025;2027BUD_V1;12;54266.00
MBWAY_LYO;6063;2025;2027BUD_V1;12;46027.00
MBWAY_NAN;6063;2025;2027BUD_V1;12;41765.00
MBWAY_BOR;6063;2025;2027BUD_V1;12;35372.00
ISCOM_PAR;6063;2025;2027BUD_V1;12;50288.00
ISCOM_LIL;6063;2025;2027BUD_V1;12;34662.00
ISCOM_TLS;6063;2025;2027BUD_V1;12;32815.00
IPAC_NAN;6063;2025;2027BUD_V1;12;20598.00
IPAC_REN;6063;2025;2027BUD_V1;12;16621.00
IPAC_MTP;6063;2025;2027BUD_V1;12;16621.00
PIGIER_LYO;6063;2025;2027BUD_V1;12;25854.00
PIGIER_BOR;6063;2025;2027BUD_V1;12;20172.00
TUNON_PAR;6063;2025;2027BUD_V1;12;19604.00
TUNON_LYO;6063;2025;2027BUD_V1;12;16621.00
MBWAY_PAR;6063;2026;2027BUD_V1;12;56856.00
MBWAY_LYO;6063;2026;2027BUD_V1;12;48224.00
MBWAY_NAN;6063;2026;2027BUD_V1;12;43758.00
MBWAY_BOR;6063;2026;2027BUD_V1;12;37061.00
ISCOM_PAR;6063;2026;2027BUD_V1;12;52689.00
ISCOM_LIL;6063;2026;2027BUD_V1;12;36316.00
ISCOM_TLS;6063;2026;2027BUD_V1;12;34382.00
IPAC_NAN;6063;2026;2027BUD_V1;12;21582.00
IPAC_REN;6063;2026;2027BUD_V1;12;17414.00
IPAC_MTP;6063;2026;2027BUD_V1;12;17414.00
PIGIER_LYO;6063;2026;2027BUD_V1;12;27089.00
PIGIER_BOR;6063;2026;2027BUD_V1;12;21135.00
TUNON_PAR;6063;2026;2027BUD_V1;12;20540.00
TUNON_LYO;6063;2026;2027BUD_V1;12;17414.00
MBWAY_PAR;6231;2024;2027BUD_V1;12;56438.00
MBWAY_LYO;6231;2024;2027BUD_V1;12;34532.00
MBWAY_NAN;6231;2024;2027BUD_V1;12;26060.00
MBWAY_BOR;6231;2024;2027BUD_V1;12;20597.00
ISCOM_PAR;6231;2024;2027BUD_V1;12;50248.00
ISCOM_LIL;6231;2024;2027BUD_V1;12;20843.00
ISCOM_TLS;6231;2024;2027BUD_V1;12;18251.00
IPAC_NAN;6231;2024;2027BUD_V1;12;17983.00
IPAC_REN;6231;2024;2027BUD_V1;12;12341.00
IPAC_MTP;6231;2024;2027BUD_V1;12;12543.00
PIGIER_LYO;6231;2024;2027BUD_V1;12;30258.00
PIGIER_BOR;6231;2024;2027BUD_V1;12;18155.00
TUNON_PAR;6231;2024;2027BUD_V1;12;24992.00
TUNON_LYO;6231;2024;2027BUD_V1;12;15578.00
MBWAY_PAR;6231;2025;2027BUD_V1;12;62082.00
MBWAY_LYO;6231;2025;2027BUD_V1;12;37985.00
MBWAY_NAN;6231;2025;2027BUD_V1;12;28666.00
MBWAY_BOR;6231;2025;2027BUD_V1;12;22657.00
ISCOM_PAR;6231;2025;2027BUD_V1;12;55272.00
ISCOM_LIL;6231;2025;2027BUD_V1;12;22927.00
ISCOM_TLS;6231;2025;2027BUD_V1;12;20076.00
IPAC_NAN;6231;2025;2027BUD_V1;12;19782.00
IPAC_REN;6231;2025;2027BUD_V1;12;13575.00
IPAC_MTP;6231;2025;2027BUD_V1;12;13798.00
PIGIER_LYO;6231;2025;2027BUD_V1;12;33284.00
PIGIER_BOR;6231;2025;2027BUD_V1;12;19971.00
TUNON_PAR;6231;2025;2027BUD_V1;12;27491.00
TUNON_LYO;6231;2025;2027BUD_V1;12;17136.00
MBWAY_PAR;6231;2026;2027BUD_V1;12;68291.00
MBWAY_LYO;6231;2026;2027BUD_V1;12;41783.00
MBWAY_NAN;6231;2026;2027BUD_V1;12;31533.00
MBWAY_BOR;6231;2026;2027BUD_V1;12;24923.00
ISCOM_PAR;6231;2026;2027BUD_V1;12;60800.00
ISCOM_LIL;6231;2026;2027BUD_V1;12;25220.00
ISCOM_TLS;6231;2026;2027BUD_V1;12;22083.00
IPAC_NAN;6231;2026;2027BUD_V1;12;21760.00
IPAC_REN;6231;2026;2027BUD_V1;12;14933.00
IPAC_MTP;6231;2026;2027BUD_V1;12;15178.00
PIGIER_LYO;6231;2026;2027BUD_V1;12;36612.00
PIGIER_BOR;6231;2026;2027BUD_V1;12;21968.00
TUNON_PAR;6231;2026;2027BUD_V1;12;30240.00
TUNON_LYO;6231;2026;2027BUD_V1;12;18850.00
MBWAY_PAR;6411;2024;2027BUD_V1;12;461593.76
MBWAY_LYO;6411;2024;2027BUD_V1;12;368902.58
MBWAY_NAN;6411;2024;2027BUD_V1;12;316903.04
MBWAY_BOR;6411;2024;2027BUD_V1;12;256743.58
ISCOM_PAR;6411;2024;2027BUD_V1;12;443568.93
ISCOM_LIL;6411;2024;2027BUD_V1;12;259421.46
ISCOM_TLS;6411;2024;2027BUD_V1;12;244893.80
IPAC_NAN;6411;2024;2027BUD_V1;12;155733.60
IPAC_REN;6411;2024;2027BUD_V1;12;127624.16
IPAC_MTP;6411;2024;2027BUD_V1;12;127557.21
PIGIER_LYO;6411;2024;2027BUD_V1;12;220599.82
PIGIER_BOR;6411;2024;2027BUD_V1;12;166342.40
TUNON_PAR;6411;2024;2027BUD_V1;12;193142.69
TUNON_LYO;6411;2024;2027BUD_V1;12;161858.54
MBWAY_PAR;6411;2025;2027BUD_V1;12;484866.41
MBWAY_LYO;6411;2025;2027BUD_V1;12;381714.36
MBWAY_NAN;6411;2025;2027BUD_V1;12;333028.50
MBWAY_BOR;6411;2025;2027BUD_V1;12;267929.00
ISCOM_PAR;6411;2025;2027BUD_V1;12;466993.12
ISCOM_LIL;6411;2025;2027BUD_V1;12;270570.21
ISCOM_TLS;6411;2025;2027BUD_V1;12;253220.84
IPAC_NAN;6411;2025;2027BUD_V1;12;160911.47
IPAC_REN;6411;2025;2027BUD_V1;12;132256.93
IPAC_MTP;6411;2025;2027BUD_V1;12;132183.02
PIGIER_LYO;6411;2025;2027BUD_V1;12;228262.14
PIGIER_BOR;6411;2025;2027BUD_V1;12;175123.55
TUNON_PAR;6411;2025;2027BUD_V1;12;205065.30
TUNON_LYO;6411;2025;2027BUD_V1;12;173666.48
MBWAY_PAR;6411;2026;2027BUD_V1;12;502062.96
MBWAY_LYO;6411;2026;2027BUD_V1;12;400192.80
MBWAY_NAN;6411;2026;2027BUD_V1;12;344252.40
MBWAY_BOR;6411;2026;2027BUD_V1;12;280337.09
ISCOM_PAR;6411;2026;2027BUD_V1;12;488050.48
ISCOM_LIL;6411;2026;2027BUD_V1;12;284669.17
ISCOM_TLS;6411;2026;2027BUD_V1;12;267683.87
IPAC_NAN;6411;2026;2027BUD_V1;12;168182.73
IPAC_REN;6411;2026;2027BUD_V1;12;136168.63
IPAC_MTP;6411;2026;2027BUD_V1;12;136087.43
PIGIER_LYO;6411;2026;2027BUD_V1;12;241308.70
PIGIER_BOR;6411;2026;2027BUD_V1;12;182756.35
TUNON_PAR;6411;2026;2027BUD_V1;12;223369.51
TUNON_LYO;6411;2026;2027BUD_V1;12;185947.72
MBWAY_PAR;6413;2024;2027BUD_V1;12;266491.87
MBWAY_LYO;6413;2024;2027BUD_V1;12;208432.22
MBWAY_NAN;6413;2024;2027BUD_V1;12;176012.71
MBWAY_BOR;6413;2024;2027BUD_V1;12;144927.58
ISCOM_PAR;6413;2024;2027BUD_V1;12;237314.78
ISCOM_LIL;6413;2024;2027BUD_V1;12;143499.42
ISCOM_TLS;6413;2024;2027BUD_V1;12;128244.70
IPAC_NAN;6413;2024;2027BUD_V1;12;85320.26
IPAC_REN;6413;2024;2027BUD_V1;12;56418.53
IPAC_MTP;6413;2024;2027BUD_V1;12;56388.94
PIGIER_LYO;6413;2024;2027BUD_V1;12;113772.68
PIGIER_BOR;6413;2024;2027BUD_V1;12;66934.77
TUNON_PAR;6413;2024;2027BUD_V1;12;100706.89
TUNON_LYO;6413;2024;2027BUD_V1;12;71551.52
MBWAY_PAR;6413;2025;2027BUD_V1;12;279927.82
MBWAY_LYO;6413;2025;2027BUD_V1;12;215670.60
MBWAY_NAN;6413;2025;2027BUD_V1;12;184969.52
MBWAY_BOR;6413;2025;2027BUD_V1;12;151241.36
ISCOM_PAR;6413;2025;2027BUD_V1;12;249846.94
ISCOM_LIL;6413;2025;2027BUD_V1;12;149666.00
ISCOM_TLS;6413;2025;2027BUD_V1;12;132606.06
IPAC_NAN;6413;2025;2027BUD_V1;12;88156.35
IPAC_REN;6413;2025;2027BUD_V1;12;58466.61
IPAC_MTP;6413;2025;2027BUD_V1;12;58433.93
PIGIER_LYO;6413;2025;2027BUD_V1;12;117724.56
PIGIER_BOR;6413;2025;2027BUD_V1;12;70468.65
TUNON_PAR;6413;2025;2027BUD_V1;12;106923.25
TUNON_LYO;6413;2025;2027BUD_V1;12;76771.37
MBWAY_PAR;6413;2026;2027BUD_V1;12;289855.78
MBWAY_LYO;6413;2026;2027BUD_V1;12;226112.25
MBWAY_NAN;6413;2026;2027BUD_V1;12;191202.82
MBWAY_BOR;6413;2026;2027BUD_V1;12;158245.25
ISCOM_PAR;6413;2026;2027BUD_V1;12;261113.40
ISCOM_LIL;6413;2026;2027BUD_V1;12;157464.43
ISCOM_TLS;6413;2026;2027BUD_V1;12;140180.27
IPAC_NAN;6413;2026;2027BUD_V1;12;92140.18
IPAC_REN;6413;2026;2027BUD_V1;12;60195.40
IPAC_MTP;6413;2026;2027BUD_V1;12;60159.50
PIGIER_LYO;6413;2026;2027BUD_V1;12;124452.63
PIGIER_BOR;6413;2026;2027BUD_V1;12;73539.85
TUNON_PAR;6413;2026;2027BUD_V1;12;116467.60
TUNON_LYO;6413;2026;2027BUD_V1;12;82201.24
GRP;6414;2024;2027BUD_V1;12;1134071.00
GRP;6414;2025;2027BUD_V1;12;1186037.00
GRP;6414;2026;2027BUD_V1;12;1242649.00
MBWAY_PAR;645;2024;2027BUD_V1;12;414542.82
MBWAY_LYO;645;2024;2027BUD_V1;12;324229.13
MBWAY_NAN;645;2024;2027BUD_V1;12;273798.58
MBWAY_BOR;645;2024;2027BUD_V1;12;225443.62
ISCOM_PAR;645;2024;2027BUD_V1;12;369156.24
ISCOM_LIL;645;2024;2027BUD_V1;12;223220.64
ISCOM_TLS;645;2024;2027BUD_V1;12;199491.89
IPAC_NAN;645;2024;2027BUD_V1;12;132720.02
IPAC_REN;645;2024;2027BUD_V1;12;87761.22
IPAC_MTP;645;2024;2027BUD_V1;12;87715.18
PIGIER_LYO;645;2024;2027BUD_V1;12;176980.09
PIGIER_BOR;645;2024;2027BUD_V1;12;104121.04
TUNON_PAR;645;2024;2027BUD_V1;12;156654.97
TUNON_LYO;645;2024;2027BUD_V1;12;111302.72
MBWAY_PAR;645;2025;2027BUD_V1;12;435443.83
MBWAY_LYO;645;2025;2027BUD_V1;12;335488.83
MBWAY_NAN;645;2025;2027BUD_V1;12;287730.62
MBWAY_BOR;645;2025;2027BUD_V1;12;235264.58
ISCOM_PAR;645;2025;2027BUD_V1;12;388651.33
ISCOM_LIL;645;2025;2027BUD_V1;12;232813.78
ISCOM_TLS;645;2025;2027BUD_V1;12;206275.97
IPAC_NAN;645;2025;2027BUD_V1;12;137132.11
IPAC_REN;645;2025;2027BUD_V1;12;90947.59
IPAC_MTP;645;2025;2027BUD_V1;12;90896.76
PIGIER_LYO;645;2025;2027BUD_V1;12;183127.57
PIGIER_BOR;645;2025;2027BUD_V1;12;109617.21
TUNON_PAR;645;2025;2027BUD_V1;12;166324.67
TUNON_LYO;645;2025;2027BUD_V1;12;119422.61
MBWAY_PAR;645;2026;2027BUD_V1;12;450887.05
MBWAY_LYO;645;2026;2027BUD_V1;12;351729.06
MBWAY_NAN;645;2026;2027BUD_V1;12;297427.90
MBWAY_BOR;645;2026;2027BUD_V1;12;246160.47
ISCOM_PAR;645;2026;2027BUD_V1;12;406175.69
ISCOM_LIL;645;2026;2027BUD_V1;12;244944.94
ISCOM_TLS;645;2026;2027BUD_V1;12;218057.94
IPAC_NAN;645;2026;2027BUD_V1;12;143328.92
IPAC_REN;645;2026;2027BUD_V1;12;93636.71
IPAC_MTP;645;2026;2027BUD_V1;12;93580.87
PIGIER_LYO;645;2026;2027BUD_V1;12;193593.69
PIGIER_BOR;645;2026;2027BUD_V1;12;114395.03
TUNON_PAR;645;2026;2027BUD_V1;12;181171.41
TUNON_LYO;645;2026;2027BUD_V1;12;127868.22
MBWAY_PAR;613;2024;2027BUD_V1;12;285101.98
MBWAY_LYO;613;2024;2027BUD_V1;12;227851.72
MBWAY_NAN;613;2024;2027BUD_V1;12;195734.40
MBWAY_BOR;613;2024;2027BUD_V1;12;158577.14
ISCOM_PAR;613;2024;2027BUD_V1;12;273969.00
ISCOM_LIL;613;2024;2027BUD_V1;12;160231.45
ISCOM_TLS;613;2024;2027BUD_V1;12;151257.51
IPAC_NAN;613;2024;2027BUD_V1;12;96188.13
IPAC_REN;613;2024;2027BUD_V1;12;78826.22
IPAC_MTP;613;2024;2027BUD_V1;12;78784.87
PIGIER_LYO;613;2024;2027BUD_V1;12;136253.60
PIGIER_BOR;613;2024;2027BUD_V1;12;102741.00
TUNON_PAR;613;2024;2027BUD_V1;12;119293.89
TUNON_LYO;613;2024;2027BUD_V1;12;99971.42
MBWAY_PAR;613;2025;2027BUD_V1;12;299476.76
MBWAY_LYO;613;2025;2027BUD_V1;12;235764.20
MBWAY_NAN;613;2025;2027BUD_V1;12;205695.00
MBWAY_BOR;613;2025;2027BUD_V1;12;165486.22
ISCOM_PAR;613;2025;2027BUD_V1;12;288437.36
ISCOM_LIL;613;2025;2027BUD_V1;12;167117.08
ISCOM_TLS;613;2025;2027BUD_V1;12;156401.63
IPAC_NAN;613;2025;2027BUD_V1;12;99386.59
IPAC_REN;613;2025;2027BUD_V1;12;81688.23
IPAC_MTP;613;2025;2027BUD_V1;12;81642.58
PIGIER_LYO;613;2025;2027BUD_V1;12;140985.25
PIGIER_BOR;613;2025;2027BUD_V1;12;108163.95
TUNON_PAR;613;2025;2027BUD_V1;12;126658.34
TUNON_LYO;613;2025;2027BUD_V1;12;107264.65
MBWAY_PAR;613;2026;2027BUD_V1;12;310097.52
MBWAY_LYO;613;2026;2027BUD_V1;12;247177.87
MBWAY_NAN;613;2026;2027BUD_V1;12;212626.38
MBWAY_BOR;613;2026;2027BUD_V1;12;173149.35
ISCOM_PAR;613;2026;2027BUD_V1;12;301442.76
ISCOM_LIL;613;2026;2027BUD_V1;12;175824.49
ISCOM_TLS;613;2026;2027BUD_V1;12;165334.19
IPAC_NAN;613;2026;2027BUD_V1;12;103877.74
IPAC_REN;613;2026;2027BUD_V1;12;84103.94
IPAC_MTP;613;2026;2027BUD_V1;12;84053.79
PIGIER_LYO;613;2026;2027BUD_V1;12;149043.83
PIGIER_BOR;613;2026;2027BUD_V1;12;112878.51
TUNON_PAR;613;2026;2027BUD_V1;12;137962.95
TUNON_LYO;613;2026;2027BUD_V1;12;114850.19
MBWAY_PAR;615;2024;2027BUD_V1;12;40728.62
MBWAY_LYO;615;2024;2027BUD_V1;12;32549.77
MBWAY_NAN;615;2024;2027BUD_V1;12;27961.73
MBWAY_BOR;615;2024;2027BUD_V1;12;22653.88
ISCOM_PAR;615;2024;2027BUD_V1;12;39138.20
ISCOM_LIL;615;2024;2027BUD_V1;12;22890.38
ISCOM_TLS;615;2024;2027BUD_V1;12;21608.56
IPAC_NAN;615;2024;2027BUD_V1;12;13741.00
IPAC_REN;615;2024;2027BUD_V1;12;11260.74
