SCENARIO;PERIODE;ENTITY;VERSION;PARAMETRE;MEASURE;KEY_ALLOC;USERUPD;DATEUPD;PROVENIENZA
2027BUD_V1;12;GRP;V01;HYP_PRICE;0,020000000;;M.PITOT;2026-08-19 14:48:02.725;INPUT_DEFORM
2027BUD_V1;12;GRP;V02;HYP_CNV_LEAD_CAND;0,030000000;;M.PITOT;2026-08-19 14:48:02.728;INPUT_DEFORM
2027BUD_V1;12;GRP;V02;HYP_BRAND_BUD;0,200000000;;M.PITOT;2026-08-19 14:48:02.732;INPUT_DEFORM
2027BUD_V1;12;GRP;V03;HYP_BRAND_BUD;-0,050000000;;M.PITOT;2026-08-19 14:48:02.736;INPUT_DEFORM
2027BUD_V1;12;GRP;V02;HYP_INFL_EXT;0,015000000;;M.PITOT;2026-08-19 14:48:02.739;INPUT_DEFORM
2027BUD_V1;12;GRP;V03;HYP_INFL_EXT;0,030000000;;M.PITOT;2026-08-19 14:48:02.743;INPUT_DEFORM
2027BUD_V1;12;GRP;V03;HYP_PRICE;0,020000000;;M.PITOT;2026-08-19 14:48:02.746;INPUT_DEFORM
2027BUD_V1;12;GRP;V02;HYP_PRICE;0,035000000;;M.PITOT;2026-08-19 14:48:02.75;INPUT_DEFORM
2027BUD_V1;12;GRP;V02;HYP_SALARY;0,020000000;;M.PITOT;2026-08-19 14:48:02.754;INPUT_DEFORM
2027BUD_V1;12;GRP;V03;HYP_SALARY;0,030000000;;M.PITOT;2026-08-19 14:48:02.757;INPUT_DEFORM
2027BUD_V1;12;GRP;V01;HYP_BRAND_BUD;0,100000000;;M.PITOT;2026-08-19 14:48:02.761;INPUT_DEFORM
2027BUD_V1;12;GRP;V01;HYP_INFL_EXT;0,020000000;;M.PITOT;2026-08-19 14:48:02.764;INPUT_DEFORM
2027BUD_V1;12;GRP;V01;HYP_CNV_ADM_INS;0,010000000;;M.PITOT;2026-08-19 14:48:02.768;INPUT_DEFORM
2027BUD_V1;12;GRP;V01;HYP_SALARY;0,025000000;;M.PITOT;2026-08-19 14:48:02.771;INPUT_DEFORM
2027BUD_V1;12;GRP;V03;HYP_STRUCT_COST;0,040000000;;M.PITOT;2026-08-19 14:48:02.775;INPUT_DEFORM
2027BUD_V1;12;GRP;V01;HYP_PASS_RATE;0,005000000;;M.PITOT;2026-08-19 14:48:02.778;INPUT_DEFORM
2027BUD_V1;12;GRP;V02;HYP_STRUCT_COST;-0,030000000;;M.PITOT;2026-08-19 14:48:02.782;INPUT_DEFORM
2027BUD_V1;12;GRP;V01;HYP_FTE_PERM;0,040000000;;M.PITOT;2026-08-19 14:48:02.785;INPUT_DEFORM
2027BUD_V1;12;GRP;V02;HYP_CNV_ADM_INS;0,025000000;;M.PITOT;2026-08-19 14:48:02.789;INPUT_DEFORM
2027BUD_V1;12;GRP;V01;HYP_PRODUCTIVITY;0,010000000;;M.PITOT;2026-08-19 14:48:02.792;INPUT_DEFORM
2027BUD_V1;12;GRP;V02;HYP_FILE_FEE;90,000000000;;H.BOUZIDI;2026-08-19 14:59:38.507;INPUT_DEFORM
2027BUD_V1;12;GRP;V01;HYP_FILE_FEE;90,000000000;;H.BOUZIDI;2026-08-19 14:59:38.511;INPUT_DEFORM
2027BUD_V1;12;GRP;V03;HYP_FILE_FEE;90,000000000;;H.BOUZIDI;2026-08-19 14:59:38.514;INPUT_DEFORM
2027BUD_V1;12;GRP;GEN;TEC_EBITDA;0,150000000;;CCH;2026-08-20 10:39:24.873;INPUT_DEFORM
2027BUD_V1;12;GRP;GEN;TEC_PL;0,050000000;;CCH;2026-08-20 10:39:24.873;INPUT_DEFORM
2027BUD_V1;12;GRP;GEN;ALLOC_BRAND_CAMP;0,000000000;REV_CA;CCH;2026-08-25 15:30:42.848;INPUT_DEFORM
2027BUD_V1;12;GRP;GEN;ALLOC_GRP_HOLDING;0,000000000;VOL_EFF;CCH;2026-08-25 15:30:42.817;INPUT_DEFORM
2027BUD_V1;12;GRP;GEN;ALLOC_CAMP_CLASS;0,000000000;VOL_EFF;CCH;2026-08-25 15:30:42.831;INPUT_DEFORM
2027BUD_V1;12;GRP;GEN;ALLOC_GRP_MARQUE;0,000000000;VOL_EFF;CCH;2026-08-25 15:30:42.863;INPUT_DEFORM
2027BUD_V1;12;GRP;V03;HYP_CNV_ADM_INS;-0,010000000;;CCH;2026-08-25 23:50:11.439;INPUT_DEFORM
2027BUD_V1;12;GRP;V03;HYP_CNV_LEAD_CAND;-0,010000000;;CCH;2026-08-25 23:50:11.443;INPUT_DEFORM
